ticket_id,ticket_text,issue_type,urgency_level,product,clean_text
214,Payment problem fr order #94367. Need urgent help.,Billing Problem,Low,SoundWave 300,payment problem fr order need urgent help
215,Order #26115 for  is 4 days late. Ordered on 24 April.,Late Delivery,Low,ProTab X1,order day late order april
216,I ordered  but got PowerMax Battery instead. My order number is #90318.,Wrong Item,High,SmartWatch V2,order get powermax battery instead order number
217,Payment issue for my SmartWatch V2. I was underbilled for order #44795.,Billing Problem,Medium,SmartWatch V2,payment issue smartwatch v underbilled order
218,Facing installation issue with UltraClean Vacuum. Setup fails at step 3.,Installation Issue,Low,UltraClean Vacuum,face installation issue ultraclean vacuum setup fail step
219,"Facing installation issue with . Setup fails at step 2. Also, I contacted support on 19 March but got no response.",Installation Issue,Low,PowerMax Battery,face installation issue setup fail step also contact support march get response
220,Not able to install my product.,Installation Issue,High,SmartWatch V2,able install product
221,Facing installation issue with RoboChef Blender. Setup fails at step 1.,Installation Issue,Medium,RoboChef Blender,face installation issue robochef blender setup fail step
222,"Payment issue for my PowerMax Battery. I was not refunded for order #68783. Also, I contacted support on 13 March but got no response.",Billing Problem,Low,PowerMax Battery,payment issue powermax battery refund order also contact support march get response
223,"Can you tell me more about the PhotoSnap Cam warranty? Also, is it available in red?",General Inquiry,unknown,PhotoSnap Cam,tell photosnap cam warranty also available red
225,"Can you tell me more about the  warranty? Also, is it available in red?",General Inquiry,Medium,ProTab X1,tell warranty also available red
226,Facing installation issue with SoundWave 300. Setup fails at step 1.,Installation Issue,Medium,SoundWave 300,face installation issue soundwave setup fail step
227,Not able to install my product. Delivery expected by 26 March.,Installation Issue,Low,PhotoSnap Cam,able install product delivery expect march
228,SoundWave 300 is late. It stopped working after just 12 days.,Product Defect,unknown,SoundWave 300,soundwave late stop work day
229,Payment issue for my PowerMax Battery. I was overbilled for order #61694.,Billing Problem,Medium,PowerMax Battery,payment issue powermax battery overbille order
230,Order #98576 for PowerMax Battery is 3 days late. Ordered on 06 May.,Late Delivery,Medium,PowerMax Battery,order powermax battery day late order may
231,Payment issue for my . I was charged twice for order #70857.,Billing Problem,High,PhotoSnap Cam,payment issue charge twice order
232,"Both my UltraClean Vacuum and ProTab X1 are lost. Both giving issues. Also, I contacted support on 24 March but got no response.",Product Defect,High,UltraClean Vacuum,ultraclean vacuum protab x lose give issue also contact support march get response
233,Payment issue for my . I was overbilled for order #41191.,Billing Problem,Medium,UltraClean Vacuum,payment issue overbille order
234,EcoBreeze AC is not received. It stopped working after just 4 days.,Product Defect,Medium,EcoBreeze AC,ecobreeze ac receive stop work day
235,Can't log in to my account. Keeps showing error. Help!,Account Access,Low,FitRun Treadmill,log account keep show error help
236,Order #61028 for PhotoSnap Cam is 6 days late. Ordered on 08 March.,Late Delivery,unknown,PhotoSnap Cam,order photosnap cam day late order march
237,"PowerMax Battery is glitchy. It stopped working after just 10 days. Also, I contacted support on 14 May but got no response.",Product Defect,High,PowerMax Battery,powermax battery glitchy stop work day also contact support may get response
238,"Can you tell me more about the ProTab X1 warranty? Also, is it available in blue?",General Inquiry,Low,ProTab X1,tell protab x warranty also available blue
239," is defective. It stopped working after just 2 days. Also, I contacted support on 11 March but got no response.",Product Defect,Medium,ProTab X1,defective stop work day also contact support march get response
240,"Can't log in to my account. Keeps showing captcha failed. Help! Also, I contacted support on 15 March but got no response. Delivery expected by 15 March.",Account Access,Low,Vision LED TV,log account keep show captcha fail help also contact support march get response delivery expect march
241,I ordered RoboChef Blender but got UltraClean Vacuum instead. My order number is #75624.,Wrong Item,Low,RoboChef Blender,order robochef blender get ultraclean vacuum instead order number
242,"Can't log in to my account. Keeps showing error. Help! Also, I contacted support on 13 April but got no response. Delivery expected by 13 April.",Account Access,Low,RoboChef Blender,log account keep show error help also contact support april get response delivery expect april
243,Facing installation issue with EcoBreeze AC. Setup fails at step 6.,Installation Issue,High,EcoBreeze AC,face installation issue ecobreeze ac setup fail step
244,Order #99210 for FitRun Treadmill is 11 days late. Ordered on 30 March.,Late Delivery,Medium,FitRun Treadmill,order fitrun treadmill day late order march
245,Can't log in to my account. Keeps showing reset required. Help!,Account Access,Low,ProTab X1,log account keep show reset require help
246,FitRun Treadmill is no response. It stopped working after just 3 days.,Product Defect,Medium,FitRun Treadmill,fitrun treadmill response stop work day
247,"Can't access my account. Also, I contacted support on 28 April but got no response. Delivery expected by 28 April.",Account Access,High,ProTab X1,access account also contact support april get response delivery expect april
248," is malfunction. It stopped working after just 3 days. Also, I contacted support on 12 March but got no response.",Product Defect,High,UltraClean Vacuum,malfunction stop work day also contact support march get response
249,"Can you tell me more about the  warranty? Also, is it available in black?",General Inquiry,High,FitRun Treadmill,tell warranty also available black
250,Can't log in to my account. Keeps showing blocked. Help!,Account Access,Low,ProTab X1,log account keep show block help
251,"Can you tell me more about the SoundWave 300 warranty? Also, is it available in white?",General Inquiry,High,SoundWave 300,tell soundwave warranty also available white
252,EcoBreeze AC is damaged. It stopped working after just 11 days.,Product Defect,Medium,EcoBreeze AC,ecobreeze ac damage stop work day
254,Facing installation issue with FitRun Treadmill. Setup fails at step 5.,Installation Issue,Medium,FitRun Treadmill,face installation issue fitrun treadmill setup fail step
255,ProTab X1 is damaged. It stopped working after just 7 days.,Product Defect,High,ProTab X1,protab x damage stop work day
256,Can't log in to my account. Keeps showing reset required. Help!,Account Access,Medium,PowerMax Battery,log account keep show reset require help
257,Payment issue for my SmartWatch V2. I was underbilled for order #91931.,Billing Problem,Medium,SmartWatch V2,payment issue smartwatch v underbilled order
258,Order #55349 placed on 10 March still not here.,Late Delivery,Low,Vision LED TV,order place march still
259,Can't log in to my account. Keeps showing blocked. Help!,Account Access,High,EcoBreeze AC,log account keep show block help
260,"Facing installation issue with PowerMax Battery. Setup fails at step 3. Also, I contacted support on 15 April but got no response.",Installation Issue,High,PowerMax Battery,face installation issue powermax battery setup fail step also contact support april get response
261,Can't log in to my account. Keeps showing error. Help!,Account Access,High,Vision LED TV,log account keep show error help
262,Facing installation issue with PowerMax Battery. Setup fails at step 4.,Installation Issue,Medium,PowerMax Battery,face installation issue powermax battery setup fail step
263,Payment issue for my FitRun Treadmill. I was charged twice for order #99357.,Billing Problem,unknown,FitRun Treadmill,payment issue fitrun treadmill charge twice order
264,"EcoBreeze AC is missing. It stopped working after just 6 days. Also, I contacted support on 13 March but got no response.",Product Defect,Medium,EcoBreeze AC,ecobreeze ac miss stop work day also contact support march get response
265,Payment issue for my SoundWave 300. I was overbilled for order #26278.,Billing Problem,High,SoundWave 300,payment issue soundwave overbille order
266,Payment issue for my . I was underbilled for order #75981.,Billing Problem,Medium,Vision LED TV,payment issue underbilled order
267,Facing installation issue wit EcoBreeze AC. Setup fails at step 3.,Installation Issue,Low,EcoBreeze AC,face installation issue wit ecobreeze ac setup fail step
268," is glitchy. It stopped working after just 11 days. Also, I contacted support on 07 March but got no response.",Product Defect,Low,SmartWatch V2,glitchy stop work day also contact support march get response
269,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,Medium,SoundWave 300,log account keep show captcha fail help
270,I ordered ProTab X1 but got PowerMax Battery instead. My order number is #96264.,Wrong Item,Medium,ProTab X1,order protab x get powermax battery instead order number
271,Can't log in to my account. Keeps showing error. Help!,Account Access,Medium,SmartWatch V2,log account keep show error help
272,Vision LED TV is not received. It stopped working after just 10 days.,Product Defect,Medium,Vision LED TV,vision lead tv receive stop work day
273,I ordered  but got SmartWatch V2 instead. My order number is #19513.,Wrong Item,High,FitRun Treadmill,order get smartwatch v instead order number
274,Payment issue for my SmartWatch V2. I was underbilled for order #56445. Delivery expected by 18 March.,Billing Problem,Medium,SmartWatch V2,payment issue smartwatch v underbilled order delivery expect march
275,I ordered PhotoSnap Cam but got UltraClean Vacuum instead. My order number is #77017. Delivery expected by 28 April.,Wrong Item,Low,PhotoSnap Cam,order photosnap cam get ultraclean vacuum instead order number delivery expect april
276,Account problem. Assistance needed.,unknown,Low,SmartWatch V2,account problem assistance need
277,Can't log in to mi account. Keeps showing captcha failed. Help!,Account Access,High,SmartWatch V2,log mi account keep show captcha fail help
278,Login not working.,unknown,Low,Vision LED TV,login work
279,"Can you tell me more about the RoboChef Blender warranty? Also, is it available in white?",General Inquiry,High,RoboChef Blender,tell robochef blender warranty also available white
280,Both my ProTab X1 and EcoBreeze AC are late. Both giving issues.,Product Defect,Low,ProTab X1,protab x ecobreeze ac late give issue
282,Can't log in to my account. Keeps showing unknown issue. Help!,Account Access,Low,SmartWatch V2,log account keep show unknown issue help
283,"Can you tell me more about the RoboChef Blender warranty? Also, is it available in white?",General Inquiry,Low,RoboChef Blender,tell robochef blender warranty also available white
284,Facing installation issue with Vision LED TV. Setup fails at step 1.,Installation Issue,High,Vision LED TV,face installation issue vision lead tv setup fail step
285,I ordered EcoBreeze AC but got PowerMax Battery instead. My order number is #69733.,Wrong Item,Low,EcoBreeze AC,order ecobreeze ac get powermax battery instead order number
286,Facing installation issue with RoboChef Blender. Setup fails at step 6. Delivery expected by 29 April.,Installation Issue,High,RoboChef Blender,face installation issue robochef blender setup fail step delivery expect april
287,Payment issue for my PhotoSnap Cam. I was charged twice for order #85816.,Billing Problem,High,PhotoSnap Cam,payment issue photosnap cam charge twice order
288,Facing installation issue wit RoboChef Blender. Setup fails at step 6.,Installation Issue,Medium,RoboChef Blender,face installation issue wit robochef blender setup fail step
289,"Can you tell me more about the SmartWatch V2 warranty? Also, is it available in blue?",General Inquiry,Low,SmartWatch V2,tell smartwatch v warranty also available blue
290,Can't log in to my account. Keeps showing unknown issue. Help! Delivery expected by 22 April.,Account Access,High,EcoBreeze AC,log account keep show unknown issue help delivery expect april
291,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,Medium,PhotoSnap Cam,log account keep show captcha fail help
292,UltraClean Vacuum is damaged. It stopped working after just 9 days.,Product Defect,High,UltraClean Vacuum,ultraclean vacuum damage stop work day
293,"Can you tell me more about the  warranty? Also, is it available in blue?",General Inquiry,Medium,EcoBreeze AC,tell warranty also available blue
295,I ordered ProTab X1 but got EcoBreeze AC instead. My order number is #26906.,Wrong Item,Medium,ProTab X1,order protab x get ecobreeze ac instead order number
296,Order #21993 placed on 21 March still not here.,Late Delivery,Medium,FitRun Treadmill,order place march still
297,Facing installation issue with UltraClean Vacuum. Setup fails at step 3.,Installation Issue,Medium,UltraClean Vacuum,face installation issue ultraclean vacuum setup fail step
299,I ordered ProTab X1 but got RoboChef Blender instead. My order number is #56658.,Wrong Item,Medium,ProTab X1,order protab x get robochef blender instead order number
300,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,Low,FitRun Treadmill,log account keep show captcha fail help
301,"Can you tell me more about teh UltraClean Vacuum warranty? Also, is it available in black?",General Inquiry,Medium,UltraClean Vacuum,tell teh ultraclean vacuum warranty also available black
302,Payment issue for my SmartWatch V2. I was underbilled for order #54150.,Billing Problem,Low,SmartWatch V2,payment issue smartwatch v underbilled order
303,Want to know more about warranty.,General Inquiry,Medium,Vision LED TV,want know warranty
304,Facing installation issue with FitRun Treadmill. Setup fails at step 4.,Installation Issue,High,FitRun Treadmill,face installation issue fitrun treadmill setup fail step
305,"Can you tell me more about the FitRun Treadmill warranty? Also, is it available in white?",General Inquiry,Medium,FitRun Treadmill,tell fitrun treadmill warranty also available white
306,Payment issue for my PhotoSnap Cam. I was debited incorrectly for order #97137.,Billing Problem,Low,PhotoSnap Cam,payment issue photosnap cam debit incorrectly order
308,"Can you tell me more about teh Vision LED TV warranty? Also, is it available in red?",unknown,Medium,Vision LED TV,tell teh vision lead tv warranty also available red
309,Order #92183 fr FitRun Treadmill is 11 days late. Ordered on 01 April. Delivery expected by 01 April.,Late Delivery,Low,FitRun Treadmill,order fr fitrun treadmill day late order april delivery expect april
310,"Is this item in stock? Also, I contacted support on 11 April but got no response.",General Inquiry,High,RoboChef Blender,item stock also contact support april get response
311,Payment issue for my SoundWave 300. I was not refunded for order #10599.,Billing Problem,High,SoundWave 300,payment issue soundwave refund order
312,I ordered PowerMax Battery but got EcoBreeze AC instead. My order number is #28999.,Wrong Item,Low,PowerMax Battery,order powermax battery get ecobreeze ac instead order number
313,Not able to install my product.,Installation Issue,Medium,UltraClean Vacuum,able install product
314,Vision LED TV is error. It stopped working after just 5 days.,unknown,High,Vision LED TV,vision lead tv error stop work day
315,"Can you tell me more about the RoboChef Blender warranty? Also, is it available in white?",General Inquiry,Medium,RoboChef Blender,tell robochef blender warranty also available white
316,Can't log in to my account. Keeps showing error. Help!,Account Access,Medium,RoboChef Blender,log account keep show error help
317,Order #78448 placed on 05 April still not here.,Late Delivery,Medium,FitRun Treadmill,order place april still
318,"Can you tell me more about the PowerMax Battery warranty? Also, is it available in blue?",General Inquiry,High,PowerMax Battery,tell powermax battery warranty also available blue
319,"Payment issue for my SmartWatch V2. I was charged twice for order #25854. Also, I contacted support on 27 April but got no response.",Billing Problem,Medium,SmartWatch V2,payment issue smartwatch v charge twice order also contact support april get response
321,Facing installation issue with SoundWave 300. Setup fails at step 3.,Installation Issue,Medium,SoundWave 300,face installation issue soundwave setup fail step
322,Payment issue for my UltraClean Vacuum. I was charged twice for order #93599.,Billing Problem,Medium,UltraClean Vacuum,payment issue ultraclean vacuum charge twice order
323,Payment issue fr mi PowerMax Battery. I was debited incorrectly fr order #39568.,Billing Problem,Medium,PowerMax Battery,payment issue fr mi powermax battery debit incorrectly fr order
324,Payment issue for my PhotoSnap Cam. I was underbilled for order #45573.,Billing Problem,Low,PhotoSnap Cam,payment issue photosnap cam underbilled order
325,FitRun Treadmill is missing. It stopped working after just 5 days.,Product Defect,High,FitRun Treadmill,fitrun treadmill miss stop work day
326, is damaged. It stopped working after just 2 days.,Product Defect,Medium,SoundWave 300,damage stop work day
327,Facing installation issue with ProTab X1. Setup fails at step 4.,Installation Issue,Low,ProTab X1,face installation issue protab x setup fail step
328,Payment issue for my ProTab X1. I was charged twice for order #10170.,Billing Problem,High,ProTab X1,payment issue protab x charge twice order
329, is error. It stopped working after just 10 days. Delivery expected by 14 April.,Product Defect,Low,PowerMax Battery,error stop work day delivery expect april
330, is late. It stopped working after just 9 days.,Product Defect,Low,PhotoSnap Cam,late stop work day
331,Order #60087 for PowerMax Battery is 16 days late. Ordered on 14 March.,unknown,Low,PowerMax Battery,order powermax battery day late order march
332,Payment issue for my UltraClean Vacuum. I was charged twice for order #23052.,Billing Problem,unknown,UltraClean Vacuum,payment issue ultraclean vacuum charge twice order
333,Can't log in to my account. Keeps showing blocked. Help!,Account Access,High,EcoBreeze AC,log account keep show block help
334,Can't log in to my account. Keeps showing error. Help! Delivery expected by 18 April.,Account Access,Low,FitRun Treadmill,log account keep show error help delivery expect april
335,"Can you tell me more about the Vision LED TV warranty? Also, is it available in black? Also, I contacted support on 11 May but got no response.",General Inquiry,Medium,Vision LED TV,tell vision lead tv warranty also available black also contact support may get response
336,Order #27254 for PowerMax Battery is 1 days late. Ordered on 10 April.,unknown,Low,PowerMax Battery,order powermax battery day late order april
337,Payment problem for order #98036. Need urgent help.,Billing Problem,Low,RoboChef Blender,payment problem order need urgent help
338,Can't log in to mi account. Keeps showing reset required. Help!,Account Access,Medium,PowerMax Battery,log mi account keep show reset require help
339,"Order #86000 for  is 5 days late. Ordered on 08 March. Also, I contacted support on 08 March but got no response.",Late Delivery,Medium,RoboChef Blender,order day late order march also contact support march get response
340,I ordered PowerMax Battery but got RoboChef Blender instead. My order number is #40494.,Wrong Item,Medium,PowerMax Battery,order powermax battery get robochef blender instead order number
341,Want to know more about warranty.,General Inquiry,unknown,SmartWatch V2,want know warranty
342,"Can you tell me more about the EcoBreeze AC warranty? Also, is it available in black?",General Inquiry,High,EcoBreeze AC,tell ecobreeze ac warranty also available black
343,FitRun Treadmill is defective. It stopped working after just 4 days.,Product Defect,Medium,FitRun Treadmill,fitrun treadmill defective stop work day
344,Payment issue for my Vision LED TV. I was underbilled for order #81504.,Billing Problem,Low,Vision LED TV,payment issue vision lead tv underbilled order
345,"Facing installation issue with PowerMax Battery. Setup fails at step 1. Also, I contacted support on 28 April but got no response.",unknown,unknown,PowerMax Battery,face installation issue powermax battery setup fail step also contact support april get response
346,I ordered SoundWave 300 but got PhotoSnap Cam instead. My order number is #40050.,Wrong Item,Low,SoundWave 300,order soundwave get photosnap cam instead order number
347,"Facing installation issue with SoundWave 300. Setup fails at step 1. Also, I contacted support on 17 March but got no response.",Installation Issue,unknown,SoundWave 300,face installation issue soundwave setup fail step also contact support march get response
348,"Payment issue for my SmartWatch V2. I was charged twice for order #79609. Also, I contacted support on 30 April but got no response.",Billing Problem,High,SmartWatch V2,payment issue smartwatch v charge twice order also contact support april get response
349,"Can you tell me more about the Vision LED TV warranty? Also, is it available in blue?",General Inquiry,High,Vision LED TV,tell vision lead tv warranty also available blue
350,Facing installation issue with . Setup fails at step 5.,Installation Issue,High,SmartWatch V2,face installation issue setup fail step
351,"Order #13937 for SmartWatch V2 is 2 days late. Ordered on 07 March. Also, I contacted support on 07 March but got no response.",Late Delivery,High,SmartWatch V2,order smartwatch v day late order march also contact support march get response
352,"Can you tell me more about the  warranty? Also, is it available in black? Also, I contacted support on 22 April but got no response.",General Inquiry,High,SoundWave 300,tell warranty also available black also contact support april get response
354,"Can't access my account. Also, I contacted support on 07 March but got no response.",Account Access,Low,PowerMax Battery,access account also contact support march get response
355,"Can you tell me more about the SmartWatch V2 warranty? Also, is it available in black?",General Inquiry,Medium,SmartWatch V2,tell smartwatch v warranty also available black
357," is no response. It stopped working after just 6 days. Also, I contacted support on 22 March but got no response.",Product Defect,High,SmartWatch V2,response stop work day also contact support march get response
358,Order #97716 fr RoboChef Blender is 4 days late. Ordered on 05 May.,Late Delivery,High,RoboChef Blender,order fr robochef blender day late order may
359,Payment issue for my PhotoSnap Cam. I was underbilled for order #49697.,Billing Problem,High,PhotoSnap Cam,payment issue photosnap cam underbilled order
360,Payment issue for my EcoBreeze AC. I was underbilled for order #20548.,Billing Problem,High,EcoBreeze AC,payment issue ecobreeze ac underbilled order
361,"Order #40777 placed on 08 April still not here. Also, I contacted support on 08 April but got no response.",Late Delivery,Low,RoboChef Blender,order place april still also contact support april get response
362,Facing installation issue with FitRun Treadmill. Setup fails at step 2.,Installation Issue,unknown,FitRun Treadmill,face installation issue fitrun treadmill setup fail step
363,Facing installation issue with SoundWave 300. Setup fails at step 6.,Installation Issue,Low,SoundWave 300,face installation issue soundwave setup fail step
364,Payment issue for my . I was not refunded for order #83474. Delivery expected by 14 March.,Billing Problem,High,PowerMax Battery,payment issue refund order delivery expect march
365,Can't log in to mi account. Keeps showing blocked. Help!,Account Access,Low,SmartWatch V2,log mi account keep show block help
366,Order #91046 for Vision LED TV is 7 days late. Ordered on 19 April.,Late Delivery,Low,Vision LED TV,order vision lead tv day late order april
367,Facing installation issue with . Setup fails at step 6.,Installation Issue,High,UltraClean Vacuum,face installation issue setup fail step
368,"Order #86799 for  is 3 days late. Ordered on 03 May. Also, I contacted support on 03 May but got no response.",Late Delivery,Medium,EcoBreeze AC,order day late order may also contact support may get response
369,Facing installation issue with EcoBreeze AC. Setup fails at step 3.,Installation Issue,Medium,EcoBreeze AC,face installation issue ecobreeze ac setup fail step
370,Facing installation issue with UltraClean Vacuum. Setup fails at step 4.,Installation Issue,High,UltraClean Vacuum,face installation issue ultraclean vacuum setup fail step
372,Payment issue for my . I was not refunded for order #88583.,Billing Problem,High,ProTab X1,payment issue refund order
373,"Can you tell me more about the UltraClean Vacuum warranty? Also, is it available in red?",General Inquiry,High,UltraClean Vacuum,tell ultraclean vacuum warranty also available red
374,PowerMax Battery is broken. It stopped working after just 7 days.,Product Defect,Low,PowerMax Battery,powermax battery break stop work day
375,Order #33197 for PhotoSnap Cam is 15 days late. Ordered on 28 March. Delivery expected by 28 March.,Late Delivery,Low,PhotoSnap Cam,order photosnap cam day late order march delivery expect march
376,Facing installation issue with . Setup fails at step 1.,Installation Issue,Low,ProTab X1,face installation issue setup fail step
377,Order #15130 for FitRun Treadmill is 13 days late. Ordered on 22 March.,Late Delivery,High,FitRun Treadmill,order fitrun treadmill day late order march
379,Payment problem for order #84187. Need urgent help. Delivery expected by 03 May.,Billing Problem,Medium,Vision LED TV,payment problem order need urgent help delivery expect may
380,"Can you tell me more about the FitRun Treadmill warranty? Also, is it available in white?",General Inquiry,Low,FitRun Treadmill,tell fitrun treadmill warranty also available white
381,"Order #99634 for EcoBreeze AC is 15 days late. Ordered on 16 May. Also, I contacted support on 16 May but got no response. Delivery expected by 16 May.",unknown,High,EcoBreeze AC,order ecobreeze ac day late order may also contact support may get response delivery expect may
382,Payment issue for my . I was underbilled for order #84239.,Billing Problem,Low,Vision LED TV,payment issue underbilled order
383,"Payment issue for my UltraClean Vacuum. I was charged twice for order #53615. Also, I contacted support on 12 March but got no response. Delivery expected by 12 March.",Billing Problem,Medium,UltraClean Vacuum,payment issue ultraclean vacuum charge twice order also contact support march get response delivery expect march
384,RoboChef Blender is stuck. It stopped working after just 6 days.,Product Defect,Low,RoboChef Blender,robochef blender stick stop work day
385,"Can't log in to my account. Keeps showing unknown issue. Help! Also, I contacted support on 30 March but got no response.",Account Access,Medium,RoboChef Blender,log account keep show unknown issue help also contact support march get response
386,Order #75955 for SmartWatch V2 is 5 days late. Ordered on 10 May.,Late Delivery,Medium,SmartWatch V2,order smartwatch v day late order may
387,Facing installation issue with PhotoSnap Cam. Setup fails at step 2.,Installation Issue,Medium,PhotoSnap Cam,face installation issue photosnap cam setup fail step
388,Order #61188 for  is 17 days late. Ordered on 05 March.,Late Delivery,Medium,UltraClean Vacuum,order day late order march
389,RoboChef Blender is error. It stopped working after just 5 days.,unknown,High,RoboChef Blender,robochef blender error stop work day
390,"Can you tell me more about the FitRun Treadmill warranty? Also, is it available in blue? Also, I contacted support on 02 April but got no response.",General Inquiry,Medium,FitRun Treadmill,tell fitrun treadmill warranty also available blue also contact support april get response
391,"Can you tell me more about the SmartWatch V2 warranty? Also, is it available in white?",General Inquiry,Low,SmartWatch V2,tell smartwatch v warranty also available white
392,"Received wrong product, order mixed up.",Wrong Item,Medium,FitRun Treadmill,receive wrong product order mix
393,"Can you tell me more about the RoboChef Blender warranty? Also, is it available in white? Delivery expected by 19 May.",General Inquiry,High,RoboChef Blender,tell robochef blender warranty also available white delivery expect may
394,Facing installation issue with UltraClean Vacuum. Setup fails at step 2.,Installation Issue,High,UltraClean Vacuum,face installation issue ultraclean vacuum setup fail step
395,"Facing installation issue with Vision LED TV. Setup fails at step 6. Also, I contacted support on 31 March but got no response.",Installation Issue,Medium,Vision LED TV,face installation issue vision lead tv setup fail step also contact support march get response
396,Payment issue for my . I was charged twice for order #66880.,Billing Problem,High,SoundWave 300,payment issue charge twice order
397, is lost. It stopped working after just 3 days.,Product Defect,Medium,PhotoSnap Cam,lose stop work day
398,RoboChef Blender is wrong item. It stopped working after just 1 days.,Product Defect,High,RoboChef Blender,robochef blender wrong item stop work day
399,Order #28904 placed on 03 May still not here.,Late Delivery,Medium,SmartWatch V2,order place may still
400,Facing installation issue with SoundWave 300. Setup fails at step 6.,Installation Issue,Medium,SoundWave 300,face installation issue soundwave setup fail step
401,Vision LED TV is cracked. It stopped working after just 1 days.,Product Defect,unknown,Vision LED TV,vision lead tv crack stop work day
402,Payment issue for my SoundWave 300. I was overbilled for order #25839. Delivery expected by 07 April.,Billing Problem,Low,SoundWave 300,payment issue soundwave overbille order delivery expect april
403,"Received wrong product, order mixed up.",Wrong Item,Low,ProTab X1,receive wrong product order mix
404,Order #17946 fr PhotoSnap Cam is 16 days late. Ordered on 14 April.,Late Delivery,High,PhotoSnap Cam,order fr photosnap cam day late order april
405,Payment issue for my EcoBreeze AC. I was debited incorrectly for order #86372.,Billing Problem,High,EcoBreeze AC,payment issue ecobreeze ac debit incorrectly order
406,"Can you tell me more about the  warranty? Also, is it available in black?",General Inquiry,Low,PowerMax Battery,tell warranty also available black
407,"Can you tell me more about the FitRun Treadmill warranty? Also, is it available in white?",General Inquiry,Low,FitRun Treadmill,tell fitrun treadmill warranty also available white
408,I ordered  but got SmartWatch V2 instead. My order number is #31482.,Wrong Item,Low,SmartWatch V2,order get smartwatch v instead order number
410,"Can you tell me more about teh FitRun Treadmill warranty? Also, is it available in white? Also, I contacted support on 01 May but got no response.",General Inquiry,High,FitRun Treadmill,tell teh fitrun treadmill warranty also available white also contact support may get response
411,Can't log in to my account. Keeps showing error. Help! Delivery expected by 30 March.,Account Access,Medium,SoundWave 300,log account keep show error help delivery expect march
412,I ordered  but got FitRun Treadmill instead. My order number is #58478.,Wrong Item,Low,PowerMax Battery,order get fitrun treadmill instead order number
413,Can't log in to my account. Keeps showing unknown issue. Help!,Account Access,High,PowerMax Battery,log account keep show unknown issue help
414,Payment issue for my FitRun Treadmill. I was debited incorrectly for order #47086.,Billing Problem,unknown,FitRun Treadmill,payment issue fitrun treadmill debit incorrectly order
415,Facing installation issue with Vision LED TV. Setup fails at step 1.,Installation Issue,Low,Vision LED TV,face installation issue vision lead tv setup fail step
416,"Facing installation issue with PhotoSnap Cam. Setup fails at step 3. Also, I contacted support on 31 March but got no response.",Installation Issue,Low,PhotoSnap Cam,face installation issue photosnap cam setup fail step also contact support march get response
417,Facing installation issue with Vision LED TV. Setup fails at step 4.,Installation Issue,Low,Vision LED TV,face installation issue vision lead tv setup fail step
418,Order #69448 for  is 2 days late. Ordered on 17 April.,Late Delivery,High,SoundWave 300,order day late order april
419,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,Medium,FitRun Treadmill,log account keep show captcha fail help
420,I ordered  but got ProTab X1 instead. My order number is #74984. Delivery expected by 11 March.,Wrong Item,Medium,PhotoSnap Cam,order get protab x instead order number delivery expect march
421,Payment issue for my ProTab X1. I was overbilled for order #70251.,Billing Problem,Medium,ProTab X1,payment issue protab x overbille order
422,"Is this item in stock? Also, I contacted support on 25 March but got no response.",General Inquiry,High,Vision LED TV,item stock also contact support march get response
424,Payment issue for my ProTab X1. I was underbilled for order #63800.,Billing Problem,High,ProTab X1,payment issue protab x underbilled order
425,"Payment issue for my Vision LED TV. I was underbilled for order #65500. Also, I contacted support on 09 April but got no response.",Billing Problem,High,Vision LED TV,payment issue vision lead tv underbilled order also contact support april get response
426,Both my  and PhotoSnap Cam are stuck. Both giving issues. Delivery expected by 04 April.,Product Defect,High,EcoBreeze AC,photosnap cam stick give issue delivery expect april
427,Facing installation issue with SmartWatch V2. Setup fails at step 1.,Installation Issue,Low,SmartWatch V2,face installation issue smartwatch v setup fail step
428,Payment issue for my UltraClean Vacuum. I was debited incorrectly for order #15205.,Billing Problem,Medium,UltraClean Vacuum,payment issue ultraclean vacuum debit incorrectly order
429,"I ordered  but got Vision LED TV instead. My order number is #94780. Also, I contacted support on 03 May but got no response.",unknown,High,RoboChef Blender,order get vision lead tv instead order number also contact support may get response
430,"Can you tell me more about teh SmartWatch V2 warranty? Also, is it available in black?",General Inquiry,Medium,SmartWatch V2,tell teh smartwatch v warranty also available black
431,Facing installation issue with PowerMax Battery. Setup fails at step 2.,Installation Issue,unknown,PowerMax Battery,face installation issue powermax battery setup fail step
432,Can't log in to my account. Keeps showing error. Help! Delivery expected by 22 March.,Account Access,Low,SoundWave 300,log account keep show error help delivery expect march
433,I ordered FitRun Treadmill but got ProTab X1 instead. My order number is #82022.,Wrong Item,High,FitRun Treadmill,order fitrun treadmill get protab x instead order number
434,RoboChef Blender is stuck. It stopped working after just 8 days.,Product Defect,Medium,RoboChef Blender,robochef blender stick stop work day
435,Account problem. Assistance needed.,Account Access,High,RoboChef Blender,account problem assistance need
436,I ordered PhotoSnap Cam but got RoboChef Blender instead. My order number is #60642.,Wrong Item,High,PhotoSnap Cam,order photosnap cam get robochef blender instead order number
